N,P,K,temperature,humidity,ph,rainfall,label
97.56,48.72,39.40,25.75,81.37,6.61,281.59,rice
91.39,35.60,41.43,20.09,83.53,7.82,222.14,rice
83.77,49.92,39.47,25.19,82.92,7.28,258.76,rice
90.68,46.12,43.18,22.78,84.42,6.48,260.55,rice
66.64,50.37,37.28,24.21,81.46,6.74,233.13,rice
70.78,55.57,41.78,22.04,84.79,6.60,201.65,rice
71.33,59.77,41.21,22.53,80.02,6.40,218.91,rice
86.77,55.16,35.21,20.12,82.45,6.10,253.00,rice
70.12,54.80,44.84,23.90,82.52,6.74,207.85,rice
63.81,48.74,44.36,21.45,81.74,6.53,289.32,rice
81.97,47.04,38.09,21.57,80.86,7.31,272.82,rice
69.18,44.25,40.99,21.78,82.18,6.04,289.08,rice
70.77,38.89,35.29,25.53,83.62,6.89,266.28,rice
64.53,59.53,39.97,24.96,82.43,7.32,221.22,rice
96.41,44.25,36.23,25.40,82.96,7.90,258.03,rice
88.33,52.38,40.28,21.10,81.26,7.22,263.57,rice
96.22,39.61,35.75,21.33,81.70,6.58,217.22,rice
94.14,58.57,35.36,23.73,80.68,6.38,299.23,rice
70.20,53.47,41.05,22.61,82.61,7.85,206.41,rice
66.02,52.67,43.11,21.41,81.61,6.89,226.94,rice
69.73,41.49,35.00,23.45,80.90,7.01,220.85,rice
95.71,59.38,37.92,24.00,80.92,6.24,250.72,rice
99.42,40.45,40.79,25.12,80.71,6.39,205.42,rice
97.17,50.50,38.07,20.69,81.23,7.93,281.77,rice
62.90,40.17,41.28,24.40,84.95,6.63,203.66,rice
89.11,48.78,35.91,25.62,84.49,6.37,264.12,rice
95.73,36.64,35.18,23.85,80.50,7.16,240.40,rice
80.70,43.65,44.84,24.03,84.71,7.52,278.35,rice
97.41,36.39,44.19,20.51,82.05,7.26,283.85,rice
84.82,40.72,42.14,22.10,82.68,6.26,215.12,rice
81.62,47.42,40.52,20.33,82.12,6.67,273.85,rice
90.63,44.65,38.85,20.85,83.10,6.28,288.23,rice
69.84,46.53,42.80,22.86,84.88,6.73,261.21,rice
96.31,57.03,40.69,23.09,83.69,6.32,255.60,rice
76.01,53.59,38.99,26.49,81.82,7.24,215.09,rice
70.24,39.99,42.12,26.68,81.16,6.56,226.28,rice
83.95,40.82,44.54,20.76,81.62,7.91,225.97,rice
